Date,Open,High,Low,Close,Adj Close,Volume
1991-06-17,5.59375,5.59375,5.46875,5.5,4.869913578033447,107200
1991-06-18,5.46875,5.53125,5.46875,5.53125,4.897583961486816,322800
1991-06-19,5.5,5.5625,5.5,5.5625,4.925252437591553,348400
1991-06-20,5.59375,5.625,5.53125,5.59375,4.952922821044922,266800
1991-06-21,5.59375,5.65625,5.5625,5.59375,4.952922821044922,266400
1991-06-24,5.53125,5.5625,5.5,5.53125,4.897583961486816,47200
1991-06-25,5.5625,5.5625,5.5,5.5,4.869913578033447,187600
1991-06-26,5.5,5.5,5.34375,5.46875,4.842243194580078,209200
1991-06-27,5.46875,5.5,5.375,5.375,4.759232997894287,168800
1991-06-28,5.375,5.40625,5.375,5.375,4.759232997894287,127200
1991-07-01,5.34375,5.40625,5.34375,5.40625,4.786902904510498,246000
1991-07-02,5.40625,5.53125,5.375,5.375,4.759232997894287,508800
1991-07-03,5.40625,5.40625,5.375,5.40625,4.786902904510498,116000
1991-07-05,5.375,5.375,5.375,5.375,4.759232997894287,20400
1991-07-08,5.40625,5.5625,5.40625,5.5625,4.925252437591553,85200
1991-07-09,5.5,5.75,5.5,5.71875,5.075008392333984,506800
1991-07-10,5.78125,5.84375,5.78125,5.8125,5.158204555511475,268800
1991-07-11,5.84375,5.84375,5.8125,5.84375,5.185935974121094,129200
1991-07-12,5.875,5.875,5.6875,5.6875,5.047275066375732,196800
1991-07-15,5.71875,5.78125,5.6875,5.78125,5.1304731369018555,201600
1991-07-16,5.78125,5.84375,5.78125,5.8125,5.158204555511475,200000
1991-07-17,5.8125,5.84375,5.75,5.78125,5.1304731369018555,54000
1991-07-18,5.75,5.9375,5.75,5.90625,5.241401195526123,256000
1991-07-19,5.90625,5.9375,5.875,5.875,5.213668346405029,217600
1991-07-22,5.875,5.875,5.75,5.75,5.102740287780762,111600
1991-07-23,5.75,5.75,5.65625,5.6875,5.047275066375732,123600
1991-07-24,5.6875,5.78125,5.6875,5.75,5.102740287780762,80800
1991-07-25,5.75,5.84375,5.75,5.84375,5.185935974121094,50000
